timestamp,date,open,high,low,close,vwap,volume,count
1744675200,2025-04-15,0.239883,0.244959,0.235313,0.235680,0.239791,2913378.60906319,2375
1744761600,2025-04-16,0.235748,0.239277,0.230557,0.235656,0.234929,5566813.57573670,2899
1744848000,2025-04-17,0.236072,0.242099,0.234586,0.239422,0.239060,5726776.25370638,2137
1744934400,2025-04-18,0.239422,0.244469,0.238145,0.240030,0.241422,3255714.90295107,1629
1745020800,2025-04-19,0.239911,0.249373,0.239771,0.246195,0.245432,2304394.43180294,1798
1745107200,2025-04-20,0.246207,0.247508,0.239145,0.243714,0.243697,2868539.19680507,1759
1745193600,2025-04-21,0.243613,0.262446,0.243613,0.250115,0.253620,6659933.62383142,3503
1745280000,2025-04-22,0.250127,0.267677,0.243947,0.265198,0.258096,11485059.88583799,3850
1745366400,2025-04-23,0.265185,0.274952,0.263355,0.266421,0.269790,8786759.96269064,4062
1745452800,2025-04-24,0.266470,0.283483,0.258885,0.280922,0.271341,7965503.61520653,4204
1745539200,2025-04-25,0.281003,0.291463,0.274500,0.283929,0.281222,12561019.55285437,4615
1745625600,2025-04-26,0.283795,0.297209,0.283795,0.290871,0.291157,4955536.78923746,3007
1745712000,2025-04-27,0.290871,0.294255,0.280782,0.284440,0.287099,10893200.03004134,3806
1745798400,2025-04-28,0.284347,0.294097,0.278576,0.282357,0.285449,6800738.23236024,3274
1745884800,2025-04-29,0.282090,0.284859,0.275225,0.278070,0.279777,4205313.75136574,2370
1745971200,2025-04-30,0.278070,0.281982,0.267396,0.271150,0.274638,5457344.03756404,2445
1746057600,2025-05-01,0.271088,0.280333,0.270360,0.273765,0.276131,7291186.00373551,2500
1746144000,2025-05-02,0.273701,0.279622,0.270952,0.274882,0.275578,3986564.34823345,2042
1746230400,2025-05-03,0.274706,0.275632,0.267893,0.269252,0.271058,2751898.82670685,1420
1746316800,2025-05-04,0.269264,0.273574,0.265052,0.265646,0.268445,1954068.74524693,1520
1746403200,2025-05-05,0.265360,0.270014,0.256220,0.258354,0.261357,4950779.73076006,2219
1746489600,2025-05-06,0.258239,0.263108,0.251957,0.262508,0.257527,3630431.33097709,1974
1746576000,2025-05-07,0.262817,0.264400,0.256314,0.260069,0.260496,3418277.96056369,2097
1746662400,2025-05-08,0.260459,0.291683,0.259007,0.290780,0.278437,16640913.16868267,4684
1746748800,2025-05-09,0.291070,0.306640,0.289393,0.295480,0.297599,15374296.76569171,5307
1746835200,2025-05-10,0.295313,0.321303,0.293557,0.321303,0.305980,11811996.06460080,4429
1746921600,2025-05-11,0.321142,0.324701,0.301000,0.305854,0.312377,8606523.55248739,4327
1747008000,2025-05-12,0.306393,0.334511,0.305787,0.312612,0.318816,21431875.50876418,10052
1747094400,2025-05-13,0.312611,0.318138,0.297513,0.314046,0.310041,15332894.79488804,8660
1747180800,2025-05-14,0.314059,0.318364,0.301111,0.303831,0.310659,13986871.97362006,6691
1747267200,2025-05-15,0.303689,0.307830,0.286574,0.292750,0.296107,15242460.98297539,7846
1747353600,2025-05-16,0.292750,0.301003,0.289215,0.293133,0.296408,8431308.78398045,6389
1747440000,2025-05-17,0.293152,0.294126,0.281787,0.286367,0.287355,5898780.47999915,3486
1747526400,2025-05-18,0.286598,0.297824,0.281525,0.292600,0.290315,7232351.76600515,4018
1747612800,2025-05-19,0.292732,0.293828,0.277000,0.286675,0.283809,8729311.12847422,4472
1747699200,2025-05-20,0.286730,0.289819,0.280078,0.287714,0.284398,4801798.70494837,3826
1747785600,2025-05-21,0.287729,0.298029,0.284170,0.293493,0.289744,10927293.40533060,5315
1747872000,2025-05-22,0.293317,0.304334,0.293222,0.304268,0.299599,9699100.23876154,4188
1747958400,2025-05-23,0.304206,0.312215,0.284127,0.285022,0.297837,16713998.89696288,7731
1748044800,2025-05-24,0.285214,0.291570,0.284079,0.286049,0.287789,2760926.26493142,3073
1748131200,2025-05-25,0.286046,0.287931,0.277632,0.287540,0.282703,5465511.80371007,3958
1748217600,2025-05-26,0.287863,0.290398,0.283206,0.285828,0.287195,5133480.95915452,3431
1748304000,2025-05-27,0.285797,0.292765,0.281125,0.287306,0.288270,3754068.86516638,3523
1748390400,2025-05-28,0.287177,0.289870,0.279305,0.285458,0.284670,3047689.96783871,3301
1748476800,2025-05-29,0.285390,0.288587,0.278092,0.278910,0.282781,4654687.38178363,3946
1748563200,2025-05-30,0.278881,0.279846,0.263841,0.265144,0.271533,14136557.19783543,6697
1748649600,2025-05-31,0.265169,0.267767,0.259079,0.264252,0.263066,4065766.65605046,3610
1748736000,2025-06-01,0.264239,0.268343,0.262068,0.267376,0.265552,3068108.59909909,2497
1748822400,2025-06-02,0.267380,0.271996,0.263845,0.271929,0.267261,4264255.37744300,2781
1748908800,2025-06-03,0.271950,0.276238,0.270019,0.272909,0.273462,3852530.22749568,2763
1748995200,2025-06-04,0.272910,0.275497,0.265618,0.266399,0.271744,3796577.50742301,2485
1749081600,2025-06-05,0.266620,0.269104,0.252550,0.257110,0.260466,7110804.37364774,4486
1749168000,2025-06-06,0.257110,0.266640,0.256100,0.263190,0.261725,2654099.05969809,2446
