1787097600,85.34
1787011200,77.01
1786924800,75.95
1786838400,74.54
1786752000,75.28
1786665600,75.33
1786579200,76.21
1786492800,75.56
1786406400,76.22
1786320000,75.92
1786233600,76.21
1786147200,75.96
1786060800,73.63
1785974400,72.63
1785888000,73.97
1785801600,73.7
1785715200,73.49
1785628800,73.54
1785542400,71.88
1785456000,72.79
1785369600,74.44
1785283200,73.6
1785196800,73.73
1785110400,74.13
1785024000,76.69
1784937600,74.46
1784851200,73.9
1784764800,75.83
1784678400,77.95
1784592000,78.09
1784505600,77.7
1784419200,76.33
1784332800,75.46
1784246400,74.98
1784160000,75.26
1784073600,77.24
1783987200,77.81
1783900800,74.91
1783814400,76.88
1783728000,76.74
1783641600,78.07
1783555200,77.99
1783468800,77.76
1783382400,80.52
1783296000,81.89
1783209600,81.52
1783123200,81.72
1783036800,82.28
1782950400,80.63
1782864000,77.38
1782777600,73.55
1782691200,75.05
1782604800,71.28
1782518400,70.39
1782432000,71.79
1782345600,67.61
1782259200,68.01
1782172800,69.6
1782086400,71.88
1782000000,72.38
1781913600,73.14
1781827200,69.68
1781740800,69.63
1781654400,71.98
1781568000,73.46
1781481600,73.93
1781395200,71.24
1781308800,68.9
1781222400,66.79
1781136000,66.85
1781049600,63.13
1780963200,64.92
1780876800,66.81
1780790400,66.46
1780704000,62.15
1780617600,63.62
1780531200,68.79
1780444800,71.52
1780358400,74.12
1780272000,81.16
1780185600,82.32
1780099200,82.61
1780012800,81.92
1779926400,82
1779840000,82.3
1779753600,83.59
1779667200,84.97
1779580800,85.17
1779494400,85.65
1779408000,84.29
1779321600,87.27
1779235200,86.09
1779148800,84.23
1779062400,85.31
1778976000,85.19
1778889600,86.51
1778803200,89.19
1778716800,92.13
1778630400,91.14
1778544000,94.27
1778457600,97.36
1778371200,96.44
1778284800,93.11
1778198400,92.02
1778112000,88.4
1778025600,89.15
1777939200,86.27
1777852800,84.09
1777766400,83.91
1777680000,84.26
1777593600,83.76
1777507200,83.05
1777420800,83.02
1777334400,84.05
1777248000,84.8
1777161600,86.95
1777075200,86.2
1776988800,86.22
1776902400,86.17
1776816000,86.91
1776729600,86.07
1776643200,85.31
1776556800,83.48
1776470400,86.21
1776384000,88.8
1776297600,89.09
1776211200,84.92
1776124800,83.76
1776038400,86.56
1775952000,81.54
1775865600,84.97
1775779200,84.86
1775692800,83.34
1775606400,82.57
1775520000,85.56
1775433600,80.03
1775347200,81.85
1775260800,80.83
1775174400,80.39
1775088000,78.95
1775001600,81.17
1774915200,83.12
1774828800,82.48
1774742400,81.37
1774656000,82.02
1774569600,83.05
1774483200,86.47
1774396800,91.68
1774310400,90.76
1774224000,91.42
1774137600,86.2
1774051200,87.55
1773964800,89.82
1773878400,88.9
1773792000,90.08
1773705600,94.65
1773619200,96.2
1773532800,92.33
1773446400,88.07
1773360000,88.19
1773273600,86.84
1773187200,86.58
1773100800,85.89
1773014400,84.96
1772928000,81.59
1772841600,83.22
1772755200,84.67
1772668800,88.78
1772582400,90.88
1772496000,86.99
1772409600,86.64
1772323200,83.6
1772236800,84.37
1772150400,81.84
1772064000,85.91
1771977600,88.06
1771891200,78.99
1771804800,77.88
1771718400,82.75
1771632000,85.15
1771545600,84.64
1771459200,82.46
1771372800,81.56
1771286400,85.05
1771200000,86.4
1771113600,86.1
1771027200,88.03
1770940800,84.27
1770854400,78.33
1770768000,79.23
1770681600,82.95
1770595200,86.72
1770508800,86.92
1770422400,87.54
1770336000,87.4
1770249600,78.19
1770163200,91.92
1770076800,97.76
1769990400,104.46
1769904000,100.66
1769817600,105.44
1769731200,117.42
1769644800,117.61
1769558400,125.16
1769472000,127.02
1769385600,124.09
1769299200,118.73
1769212800,127.02
1769126400,127.28
1769040000,128.35
1768953600,129.44
1768867200,125.66
1768780800,133.36
1768694400,137.81
1768608000,143.66
1768521600,144.83
1768435200,142.37
1768348800,146.7
1768262400,145.43
1768176000,139.05
