timestamp,date,open,high,low,close,vwap,volume,count
1735689600,2025-01-01,188.93,194.72,187.63,193.82,191.51,109203.09811520,13352
1735776000,2025-01-02,193.88,209.95,193.10,208.00,204.93,284268.54309407,26137
1735862400,2025-01-03,208.03,219.57,205.61,217.70,214.35,177794.24700499,25269
1735948800,2025-01-04,217.72,217.88,213.61,216.67,216.09,92172.58269582,15702
1736035200,2025-01-05,216.67,218.82,211.51,213.35,214.16,73763.20616129,16334
1736121600,2025-01-06,213.42,223.11,211.51,218.45,218.57,174160.42694047,23077
1736208000,2025-01-07,218.46,219.00,201.82,202.16,209.59,248391.95870966,26647
1736294400,2025-01-08,202.16,203.17,188.37,197.48,195.90,310990.51577525,27944
1736380800,2025-01-09,197.48,199.00,182.20,185.06,189.50,293728.17668544,28460
1736467200,2025-01-10,185.06,192.97,183.46,187.56,188.23,229811.15966055,21446
1736553600,2025-01-11,187.62,191.69,184.17,187.95,187.05,105065.80337331,13289
1736640000,2025-01-12,188.03,190.79,185.16,188.48,187.47,86524.68487270,11951
1736726400,2025-01-13,188.48,191.70,168.74,182.73,179.00,330878.44831706,30771
1736812800,2025-01-14,182.78,189.96,181.83,187.49,186.69,141960.13513498,19489
1736899200,2025-01-15,187.53,206.00,185.88,206.00,195.96,223297.23715899,26873
1736985600,2025-01-16,206.00,216.90,198.32,211.06,208.76,394101.86205582,32256
1737072000,2025-01-17,211.06,221.95,209.83,219.59,217.31,349173.84420855,31388
1737158400,2025-01-18,219.60,270.00,217.41,261.51,245.57,1329597.36457559,109789
1737244800,2025-01-19,261.52,296.00,236.96,252.22,266.56,1800171.35733445,176830
1737331200,2025-01-20,252.23,272.78,229.50,241.91,249.75,1089902.65921243,101585
1737417600,2025-01-21,241.91,260.00,230.15,250.48,244.61,524909.25674917,51494
1737504000,2025-01-22,250.48,271.88,248.69,257.50,260.80,458893.32039568,53098
1737590400,2025-01-23,257.51,258.44,242.20,253.08,250.62,652211.44520650,48623
1737676800,2025-01-24,253.16,269.69,247.50,253.35,260.73,357773.54753709,40749
1737763200,2025-01-25,253.42,260.85,246.37,256.20,252.51,220587.84174703,24836
1737849600,2025-01-26,256.32,259.98,240.36,240.59,251.76,186715.66623736,25671
1737936000,2025-01-27,240.40,242.54,221.10,234.98,230.77,694845.31249939,58707
1738022400,2025-01-28,234.98,244.05,224.99,227.04,234.17,261130.21552971,32532
1738108800,2025-01-29,227.04,238.24,221.11,227.99,230.36,336571.96355751,34530
1738195200,2025-01-30,228.00,244.69,226.90,238.53,239.08,242066.72996615,27651
1738281600,2025-01-31,238.53,241.69,225.00,231.69,234.61,223714.21655085,26282
1738368000,2025-02-01,231.69,234.00,212.88,212.94,222.88,238517.80444749,27248
1738454400,2025-02-02,212.96,218.72,192.20,203.38,206.08,423057.30641090,41844
1738540800,2025-02-03,203.38,218.66,175.08,216.53,197.55,783554.87399347,73267
1738627200,2025-02-04,216.54,220.00,202.27,206.66,210.84,355163.87454382,40576
1738713600,2025-02-05,206.71,209.48,195.12,195.94,200.97,249676.62883610,24687
1738800000,2025-02-06,196.12,204.17,187.33,189.57,194.97,222827.42436671,19482
1738886400,2025-02-07,189.56,203.47,188.17,192.16,195.47,202591.48720829,20793
1738972800,2025-02-08,192.16,200.83,189.72,199.43,194.37,127489.25995100,13310
1739059200,2025-02-09,199.41,207.31,193.80,200.59,200.85,167814.96891242,20047
1739145600,2025-02-10,200.54,209.00,196.10,200.53,202.65,163718.37508817,20584
1739232000,2025-02-11,200.53,206.10,195.18,197.96,200.54,154449.48179546,17700
1739318400,2025-02-12,197.96,198.49,188.65,196.77,193.78,231910.41500786,20095
1739404800,2025-02-13,196.81,198.43,189.00,194.31,193.18,127082.88932505,15254
1739491200,2025-02-14,194.31,205.28,194.22,199.45,199.75,186124.90399823,19975
1739577600,2025-02-15,199.42,200.37,192.63,194.42,196.26,90536.39371940,12608
1739664000,2025-02-16,194.42,196.23,186.00,188.32,191.06,119258.10261688,13249
1739750400,2025-02-17,188.32,189.71,174.60,177.39,181.45,301507.38142459,25383
1739836800,2025-02-18,177.52,179.00,160.80,169.21,167.48,486235.47895620,41724
1739923200,2025-02-19,169.21,174.21,163.69,168.86,169.53,289775.34769545,22658
1740009600,2025-02-20,168.90,176.59,167.69,176.08,173.04,181503.91609995,16851
1740096000,2025-02-21,176.08,180.52,167.06,168.81,174.17,213390.70301570,18857
1740182400,2025-02-22,168.81,174.67,168.03,172.06,172.40,59497.27369792,8989
1740268800,2025-02-23,172.08,173.05,166.54,167.99,169.46,93186.58619212,10580
1740355200,2025-02-24,167.99,169.71,137.68,141.85,153.05,507654.51937950,42992
1740441600,2025-02-25,141.83,146.83,131.79,144.13,139.40,547476.52404853,45040
1740528000,2025-02-26,144.13,145.01,129.71,135.09,136.15,366503.86885724,30401
1740614400,2025-02-27,135.15,142.62,134.57,137.54,138.71,265777.65687906,18750
1740700800,2025-02-28,137.54,148.50,125.38,148.08,136.07,533919.32677959,34247
1740787200,2025-03-01,148.11,151.09,138.54,143.64,143.33,162526.06551917,15423
1740873600,2025-03-02,143.64,180.00,140.11,178.70,166.50,827931.39236254,51225
1740960000,2025-03-03,178.78,179.34,139.15,142.00,156.97,489708.65199217,37736
1741046400,2025-03-04,142.00,146.84,130.49,144.77,139.49,586717.77920355,34958
1741132800,2025-03-05,144.75,149.66,140.18,146.31,144.45,386309.65290253,22848
1741219200,2025-03-06,146.31,152.84,142.50,143.29,147.45,318768.65197911,19444
1741305600,2025-03-07,143.29,150.79,135.17,139.33,143.01,379743.08892314,25936
1741392000,2025-03-08,139.34,141.00,135.36,136.95,138.10,164266.66805314,11549
1741478400,2025-03-09,136.96,139.76,125.50,126.45,132.19,285628.86290735,17771
1741564800,2025-03-10,126.45,131.41,115.44,118.23,121.69,470752.65060933,30779
1741651200,2025-03-11,118.23,128.35,112.07,125.32,122.00,385712.61195595,20891
1741737600,2025-03-12,125.34,131.33,121.30,126.65,125.73,237384.61541948,14158
1741824000,2025-03-13,126.60,128.69,120.81,123.33,124.50,160207.36881060,13162
1741910400,2025-03-14,123.31,136.08,123.00,133.60,130.12,235560.67380608,16012
1741996800,2025-03-15,133.56,136.51,132.55,135.87,134.43,89137.67174063,11139
1742083200,2025-03-16,135.87,136.62,125.22,126.03,129.42,178506.48026935,13439
1742169600,2025-03-17,126.11,130.54,125.57,128.01,128.18,149961.94662538,11750
1742256000,2025-03-18,128.02,128.05,121.80,125.38,123.99,188321.44503446,13569
1742342400,2025-03-19,125.32,136.00,124.20,135.42,130.74,299304.01674214,18646
1742428800,2025-03-20,135.42,136.00,126.59,127.47,130.70,258666.99399155,15690
1742515200,2025-03-21,127.47,130.09,124.81,128.42,127.10,167190.29019910,11566
1742601600,2025-03-22,128.42,131.69,127.83,128.51,129.42,67100.13877616,7113
1742688000,2025-03-23,128.49,133.88,128.25,132.83,132.05,103907.61619089,9264
1742774400,2025-03-24,132.84,144.92,132.08,141.02,139.99,236525.00172477,20076
1742860800,2025-03-25,141.01,147.43,138.20,143.63,143.65,209731.82243421,16383
1742947200,2025-03-26,143.69,145.43,136.00,137.36,140.49,178196.41819031,15001
1743033600,2025-03-27,137.36,140.14,135.63,138.43,138.42,116913.65333455,10407
1743120000,2025-03-28,138.43,138.96,127.66,129.38,131.34,276217.99924429,15751
1743206400,2025-03-29,129.38,130.41,122.66,124.49,125.67,150092.05092876,10168
1743292800,2025-03-30,124.51,127.06,123.07,124.78,124.70,93457.36609759,7630
1743379200,2025-03-31,124.78,127.74,122.72,124.60,125.28,297546.04705714,17247
1743465600,2025-04-01,124.57,130.35,123.79,126.69,127.76,255309.32970857,12758
1743552000,2025-04-02,126.70,136.15,117.22,117.31,126.90,341325.97232526,21145
1743638400,2025-04-03,117.42,120.87,112.13,117.06,116.95,395276.11210880,20627
1743724800,2025-04-04,117.14,123.94,113.29,122.74,118.80,396046.56788373,20816
1743811200,2025-04-05,122.75,122.82,117.14,120.26,119.62,104191.49778036,9170
1743897600,2025-04-06,120.25,121.00,103.74,105.85,112.86,658064.65223686,25815
1743984000,2025-04-07,105.85,112.90,95.17,106.89,103.10,674219.00211805,35327
1744070400,2025-04-08,106.93,112.48,102.88,105.38,108.14,348058.10973072,19314
1744156800,2025-04-09,105.31,120.65,101.24,119.05,111.52,476026.48675193,22216
